Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud,Latitud
2022S007749    ,-1,Desconegut,-1,Desconegut,-1,Fernando Pessoa                                   ,17,Dilluns,2022,12,Desembre,19,11,Matí,No és causa del  vianant,0,1,0,1,2,432684.59 ,4588039.29,2.19309773734525,41.4392611438551
2022S003422    ,-1,Desconegut,-1,Desconegut,-1,Bac de Roda / Ramon Turró                         ,Desconegut,Dissabte,2022,6,Juny,4,14,Tarda,No és causa del  vianant,0,2,0,2,2,433936.91 ,4584121.59,2.20851521304019,41.4040796070100
2022S003346    ,-1,Desconegut,-1,Desconegut,-1,Viladrosa                                         ,97-103    ,Dimecres,2022,6,Juny,1,21,Tarda,No és causa del  vianant,0,1,0,1,2,431308.23 ,4588533.51,2.17656784025681,41.4435957239281
2022S006073    ,-1,Desconegut,-1,Desconegut,-1,A Zona Franca / Número 3 Zona Franca              ,Desconegut,Dissabte,2022,10,Octubre,8,21,Tarda,No és causa del  vianant,0,0,0,0,1,428020.43 ,4576283.26,2.13867072493585,41.3329741092914
2022S005123    ,-1,Desconegut,-1,Desconegut,-1,Carles Pi i Sunyer                                ,10,Divendres,2022,8,Agost,26,16,Tarda,No és causa del  vianant,0,1,0,1,2,431029.88 ,4582053.59,2.17397546148698,41.3852094064853
2022S003977    ,-1,Desconegut,-1,Desconegut,-1,Guipúscoa / Espronceda                            ,Desconegut,Dijous,2022,6,Juny,30,11,Matí,No és causa del  vianant,0,1,0,1,1,432695.3  ,4585200.75,2.19354220381238,41.4136962077680
2022S004286    ,-1,Desconegut,-1,Desconegut,-1,Estatut de Catalunya / Jorge Manrique             ,Desconegut,Dijous,2022,7,Juliol,14,7,Matí,No és causa del  vianant,0,1,0,1,2,429391.4  ,4587227.22,2.15377667071203,41.4316640776020
2022S005426    ,-1,Desconegut,-1,Desconegut,-1,Motors                                            ,38-40     ,Dissabte,2022,9,Setembre,10,14,Tarda,No és causa del  vianant,0,1,0,1,2,427593.18 ,4577814.42,2.13338262513950,41.3467264771681
2022S002974    ,-1,Desconegut,-1,Desconegut,-1,Dalt (Besòs)                                      ,S11       ,Dilluns,2022,5,Maig,16,20,Tarda,No és causa del  vianant,0,1,0,1,2,425089.54 ,4581936.96,2.10294994237711,41.3836273000542
2022S002801    ,-1,Desconegut,-1,Desconegut,-1,Joan XXIII                                        ,1,Dimarts,2022,5,Maig,10,21,Tarda,No és causa del  vianant,0,0,0,0,2,426451.5  ,4581657.08,2.11927105805228,41.3812323062258
2022S003194    ,-1,Desconegut,-1,Desconegut,-1,Jocs del 92 / Foc                                 ,Desconegut,Dijous,2022,5,Maig,26,21,Tarda,No és causa del  vianant,0,6,0,6,2,428989.33 ,4579247.93,2.14990142012880,41.3597620632343
2022S001039    ,-1,Desconegut,-1,Desconegut,-1,Mig (Ascendent)                                   ,K14       ,Dilluns,2022,2,Febrer,21,10,Matí,No és causa del  vianant,0,1,0,1,2,427334.3  ,4581216.56,2.12988060905330,41.3773449960320
2022S003094    ,-1,Desconegut,-1,Desconegut,-1,Francesc Ferrer i Guàrdia                         ,13-27     ,Diumenge,2022,5,Maig,22,20,Tarda,No és causa del  vianant,0,1,0,1,2,428733.49 ,4580289.66,2.14672051246641,41.3691219640656
2022S002212    ,-1,Desconegut,-1,Desconegut,-1,Ildefons Cerdà / Corts Catalanes                  ,Desconegut,Dissabte,2022,4,Abril,16,14,Tarda,No és causa del  vianant,0,1,0,1,1,427718.43 ,4579750.57,2.13464876064647,41.3641759824788
2022S005498    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,226400,Meridiana / Las Navas de Tolosa                   ,0293 0293,Dimecres,2022,9,Setembre,14,8,Matí,No és causa del  vianant,0,1,0,1,2,432141.03 ,4585382.64,2.18689031416923,41.4152877819504
2022S007303    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,226400,Las Navas de Tolosa                               ,0331 0331,Dilluns,2022,11,Novembre,28,15,Tarda,No és causa del  vianant,0,1,0,1,2,431973.04 ,4585538.56,2.18486282916210,41.4166778879595
2022S001340    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria                                         ,0255X0255X,Diumenge,2022,3,Març,6,6,Matí,No és causa del  vianant,0,1,0,1,2,431549.19 ,4585199.86,2.17982988488576,41.4135913026962
2022S000863    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret / Independència          ,0272 0274,Diumenge,2022,2,Febrer,13,14,Tarda,No és causa del  vianant,0,1,0,1,1,431281.04 ,4585126.89,2.17662995990221,41.4129111815693
2022S000954    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0282 0284,Dijous,2022,2,Febrer,17,12,Matí,No és causa del  vianant,0,4,0,4,3,431349.6  ,4585179.44,2.17744425384287,41.4133903466385
2022S002592    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria                                         ,0267 0269,Dilluns,2022,5,Maig,2,17,Tarda,No és causa del  vianant,0,1,0,1,2,431572.74 ,4585262.63,2.18010453773893,41.4141586589687
2022S007370    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,194406,Maragall                                          ,0043 0043,Dijous,2022,12,Desembre,1,6,Matí,Creuar per fora pas de vianants,0,1,0,1,1,431601.21 ,4585393.87,2.18043031206932,41.4153431206651
2022S004407    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0252 0256,Dimarts,2022,7,Juliol,19,10,Matí,No és causa del  vianant,0,1,0,1,2,431226.09 ,4585058.64,2.17598029501962,41.4122917719178
2022S001461    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria / Sant Quintí                           ,0254 0254,Divendres,2022,3,Març,11,20,Tarda,No és causa del  vianant,0,1,0,1,2,431460.81 ,4585127.29,2.17878071038030,41.4129301491833
2022S002966    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0258 0260,Dimarts,2022,5,Maig,17,8,Matí,No és causa del  vianant,0,2,0,2,2,431205.74 ,4585069.47,2.17573559444880,41.4123875709233
2022S002764    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0268 0268,Dilluns,2022,5,Maig,9,12,Matí,No és causa del  vianant,0,1,0,1,2,431268.03 ,4585099.78,2.17647738886889,41.4126658972678
