"nExp","cDis","nDis","cBar","nBar","cCar","nCar","dSet","nMes","mes","dia","hora","torn","causa","morts","lesLl","lesGr","vict","vehi","UTMX","UTMY","long","lat","nPos","dTVehImp","sexe","edat","dTPers","dLlAtrVia","dMotDesVia","dMotDespCon","dVict","accbici"
"2022S000003    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",268003,"Provença / Calàbria                               ","Dissabte",1,"Gener",1,15,"Tarda","No és causa del  vianant",0,2,0,2,2,428880.88,4582025.85,2.148278818561,41.3847722842554,"0092 0094","Bicicleta","Home",26,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000003    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",268003,"Provença / Calàbria                               ","Dissabte",1,"Gener",1,15,"Tarda","No és causa del  vianant",0,2,0,2,2,428880.88,4582025.85,2.148278818561,41.3847722842554,"0092 0094","Bicicleta","Home",33,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000009    ",1,"Ciutat Vella",2,"el Barri Gòtic",130403,"Fontanella / Laietana                             ","Diumenge",1,"Gener",2,13,"Matí","No és causa del  vianant",0,1,0,1,2,430931.78,4582415.71,2.17276095596434,41.3884624888372,"0022 0022","Bicicleta","Home",28,"Conductor","Desconegut                                                                                                                                            ","Desconegut","En missió","Ferit lleu: Hospitalització fins a 24h",1
"2022S000011    ",9,"Sant Andreu",63,"Navas",194406,"Maragall                                          ","Diumenge",1,"Gener",2,16,"Tarda","No és causa del  vianant",0,1,0,1,2,431642.99,4585827.71,2.18088112137647,41.4192541330761,"0094 0096","Bicicleta","Dona",50,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000019    ",1,"Ciutat Vella",1,"el Raval",269108,"Rambla                                            ","Dilluns",1,"Gener",3,8,"Matí","No és causa del  vianant",0,1,0,1,2,431228.84,4581111.32,2.17646186707725,41.3767396947491,"0002 0002","Bicicleta","Home",26,"Conductor","Desconegut                                                                                                                                            ","Desconegut","En missió","Ferit lleu: Hospitalització fins a 24h",1
"2022S000035    ",2,"Eixample",7,"la Dreta de l'Eixample",74404,"Universitat / Catalunya                           ","Dilluns",1,"Gener",3,19,"Tarda","No és causa del  vianant",0,2,0,2,2,430577.54,4582299.78,2.16853766887086,41.3873878209624,"0009 0009","Bicicleta","Home",18,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000042    ",1,"Ciutat Vella",3,"la Barceloneta",700813,"Doctor Aiguader                                   ","Dimarts",1,"Gener",4,16,"Tarda","No és causa del  vianant",0,1,0,1,2,432599.97,4581989.97,2.1927594113013,41.3847695966708,"0088 0088","Bicicleta","Home",16,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Altres activitats","Ferit lleu: Hospitalització fins a 24h",1
"2022S000059    ",3,"Sants-Montjuïc",17,"Sants - Badal",187207,"Madrid / Jaume Roig                               ","Dimecres",1,"Gener",5,15,"Tarda","No és causa del  vianant",0,2,0,2,2,426948.76,4581205.82,2.12527182020635,41.3772133277004,"0044 0044","Bicicleta","Home",20,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Transport professional de mercaderies","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
"2022S000064    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",32700,"Balmes                                            ","Dimecres",1,"Gener",5,17,"Tarda","No és causa del  vianant",0,1,0,1,2,429149.58,4583535.13,2.15131547000802,41.3983895617184,"0213 0213","Bicicleta","Home",44,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000073    ",3,"Sants-Montjuïc",11,"el Poble-sec",701618,"Paral·lel / Salvà                                 ","Dilluns",1,"Gener",3,20,"Tarda","No és causa del  vianant",0,1,0,1,2,430415.74,4580920.58,2.16676114275154,41.3749517939227,"0001 0001X","Bicicleta","Home",26,"Conductor","Desconegut                                                                                                                                            ","Desconegut","In itínere","Ferit lleu: Rebutja assistència sanitària",1
"2022S000077    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",169205,"General Mitre / Doctor Fleming                    ","Dijous",1,"Gener",6,16,"Tarda","No és causa del  vianant",0,1,0,1,2,427734.56,4583219.96,2.13442753890613,41.3954249190717,"0011 0011","Bicicleta","Dona",30,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000088    ",3,"Sants-Montjuïc",18,"Sants",162002,"Josep Tarradellas                                 ","Divendres",1,"Gener",7,15,"Tarda","No és causa del  vianant",0,1,0,1,2,428368.68,4581866.41,2.14217234138198,41.3832907835232,"0033 0033","Bicicleta","Dona",39,"Conductor","Desconegut                                                                                                                                            ","Desconegut","Es desconeix","Ferit lleu: Hospitalització fins a 24h",1
"2022S000094    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",349706,"Comte d'Urgell / Consell de Cent                  ","Divendres",1,"Gener",7,20,"Tarda","No és causa del  vianant",0,1,0,1,1,429541.26,4581925.8,2.1561878952184,41.3839293274237,"0095B0095B","Bicicleta","Dona",30,"Vianant","En pas regulat per semàfor                                                                                                                            ","Desconegut","Desconegut","Ferit lleu: Amb assistència sanitària en lloc d'accident",1
