"Column","Missing_Count","Missing_Percentage"
"Numero_expedient",0,0
"Codi_districte",0,0
"Nom_districte",182,1.03338632750397
"Codi_barri",0,0
"Nom_barri",182,1.03338632750397
"Codi_carrer",0,0
"Nom_carrer",0,0
"Num_postal_caption",169,0.959573018396548
"Descripcio_dia_setmana",0,0
"Nom_mes",0,0
"Dia_mes",0,0
"Hora_dia",0,0
"Descripcio_torn",0,0
"Descripcio_causa_vianant",0,0
"Numero_morts",0,0
"Numero_lesionats_lleus",0,0
"Numero_lesionats_greus",0,0
"Numero_victimes",0,0
"Numero_vehicles_implicats",0,0
"Coordenada_UTM_X_ED50",0,0
"Coordenada_UTM_Y_ED50",0,0
"Longitud",0,0
"Latitud",0,0
"Num_postal.x",182,1.03338632750397
"Desc_Tipus_vehicle_implicat",4,0.0227117874176698
"Descripcio_sexe",9,0.051101521689757
"Edat",14,0.0794912559618442
"Descripcio_tipus_persona",0,0
"Descripcio_Lloc_atropellament_vianant",0,0
"Descripcio_Motiu_desplaçament_vianant",17058,96.8544174426527
"Descripcio_Motiu_desplaçament_conductor",4376,24.8466954349307
"Descripcio_victimitzacio",0,0
"Num_postal.y",1,0.00567794685441744
"NK_Any.y",0,0
"Mes_any.y",0,0
"Descripcio_tipus_vehicle",38,0.215761980467863
"Descripcio_model",1581,8.97683397683398
"Descripcio_marca",973,5.52464228934817
"Descripcio_color",2233,12.6788553259141
"Descripcio_carnet",2594,14.7285941403588
"Antiguitat_carnet",3078,17.4767204178969
"Accident_en_bicicleta",0,0
